A,Team,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Shai Gilgeous-Alexander,OKC,76,2598,0.519,2484,379,486,131,77,15,183,164
Anthony Edwards,MIN,79,2871,0.447,2177,450,359,91,51,10,249,150
Nikola Jokić,DEN,70,2571,0.576,2071,892,716,127,45,12,230,160
Giannis Antetokounmpo,MIL,67,2289,0.601,2036,798,433,58,78,11,206,155
Jayson Tatum,BOS,72,2624,0.452,1932,623,431,76,38,14,209,157
Devin Booker,PHO,75,2795,0.461,1923,305,529,67,16,0,220,198
Trae Young,ATL,76,2739,0.411,1841,236,880,91,12,8,355,145
Tyler Herro,MIA,77,2725,0.472,1840,399,424,69,17,6,198,85
Cade Cunningham,DET,70,2452,0.469,1830,425,638,71,53,10,309,195
James Harden,LAC,79,2789,0.41,1802,456,687,118,55,11,341,162
Karl-Anthony Towns,NYK,72,2517,0.526,1759,920,222,71,50,13,192,249
Zach LaVine,2TM,74,2602,0.511,1724,315,310,58,12,0,208,121
Zach LaVine,CHI,42,1432,0.511,1007,202,189,39,10,7,121,64
Zach LaVine,SAC,32,1170,0.511,717,113,121,19,2,7,87,57
Jalen Green,HOU,82,2697,0.423,1723,377,282,71,27,14,203,127
Stephen Curry,GSW,70,2252,0.448,1718,310,421,80,30,9,200,95
DeMar DeRozan,SAC,77,2768,0.477,1710,298,342,62,32,7,105,150
LeBron James,LAL,70,2444,0.513,1710,546,575,70,39,13,260,99
Donovan Mitchell,CLE,71,2232,0.443,1701,322,354,95,17,15,149,140
Jalen Brunson,NYK,65,2301,0.488,1690,187,475,60,8,13,164,138
Kevin Durant,PHO,62,2265,0.527,1647,374,263,50,77,0,190,104
Jaren Jackson Jr.,MEM,74,2207,0.488,1641,417,148,92,113,8,153,257
Pascal Siakam,IND,78,2548,0.519,1578,540,263,70,42,12,109,189
Darius Garland,CLE,75,2301,0.472,1544,214,506,91,11,15,189,143
Coby White,CHI,74,2450,0.453,1509,273,330,69,16,7,177,154
Jalen Williams,OKC,69,2237,0.484,1490,369,354,111,46,15,150,158
Austin Reaves,LAL,73,2550,0.46,1475,329,421,81,22,13,177,151
De'Aaron Fox,2TM,62,2241,0.463,1459,298,392,91,25,0,174,164
De'Aaron Fox,SAC,45,1663,0.469,1124,225,276,66,20,7,133,118
De'Aaron Fox,SAS,17,578,0.446,335,73,116,25,5,3,41,46
Alperen Şengün,HOU,76,2395,0.496,1451,786,372,84,61,14,194,209
Franz Wagner,ORL,60,2023,0.463,1449,342,284,75,21,9,138,147
Damian Lillard,MIL,58,2093,0.448,1447,272,410,70,10,11,162,97
Mikal Bridges,NYK,82,3036,0.5,1444,259,306,75,43,13,132,127
Jamal Murray,DEN,67,2418,0.474,1436,261,403,91,33,12,138,128
Bam Adebayo,MIA,78,2674,0.485,1410,749,337,98,53,6,161,162
Luka Dončić,2TM,50,1769,0.45,1408,409,383,89,21,0,179,126
Luka Dončić,DAL,22,785,0.464,619,183,172,44,9,6,75,58
Luka Dončić,LAL,28,984,0.438,789,226,211,45,12,13,104,68
Jaylen Brown,BOS,63,2158,0.463,1398,368,286,73,19,14,162,154
Michael Porter Jr.,DEN,77,2593,0.504,1398,540,165,50,38,12,104,157
Jordan Poole,WAS,68,2001,0.432,1391,203,303,86,27,1,204,201
Tyrese Maxey,PHI,52,1960,0.437,1369,174,317,91,21,3,124,116
Tyrese Haliburton,IND,73,2451,0.473,1359,258,673,105,49,12,120,92
Nikola Vučević,CHI,73,2278,0.53,1349,735,256,61,52,7,119,163
Anfernee Simons,POR,70,2292,0.426,1348,189,337,60,5,4,143,117
Ivica Zubac,LAC,80,2624,0.628,1340,1010,214,55,90,11,127,168
Domantas Sabonis,SAC,70,2429,0.59,1337,972,423,48,26,7,202,229
Malik Beasley,DET,82,2283,0.43,1336,214,139,73,5,10,83,125
Shaedon Sharpe,POR,72,2252,0.452,1335,324,198,62,16,4,150,120
OG Anunoby,NYK,74,2706,0.476,1332,358,164,110,65,13,102,172
Desmond Bane,MEM,69,2205,0.484,1327,418,369,80,28,8,169,164
Evan Mobley,CLE,71,2167,0.557,1316,659,226,61,113,15,145,141
Norman Powell,LAC,60,1958,0.484,1306,190,125,73,9,11,108,114
Miles Bridges,CHO,64,2029,0.431,1300,481,248,44,45,0,136,93
Julius Randle,MIN,69,2226,0.485,1288,487,323,47,16,10,196,175
Anthony Davis,2TM,51,1706,0.516,1261,590,181,59,110,0,113,98
Anthony Davis,LAL,42,1440,0.528,1081,499,141,54,90,13,93,82
Anthony Davis,DAL,9,266,0.461,180,91,40,5,20,6,20,16
Scottie Barnes,TOR,65,2134,0.446,1252,502,378,93,63,5,185,113
Derrick White,BOS,76,2574,0.442,1248,341,361,72,80,14,131,138
